	OSCC cell	CAF	MSC	MAF	Mst	DC	EC	T.cell	Mac	B.cell	Myo	LNM
LNM_106	0.978651696	0.004564521	0	0	0	0	0	0.00267878	0.010729311	0	0.003375691	1
LNM_107	0.770112992	0.207856026	0	0	6.02E-06	0	0.010715047	0.005181028	0.005773389	9.29E-05	0.00026263	1
LNM_108	0.914075786	0.034796889	0.000908075	0.028648267	8.57E-05	0	0	0.003257317	0	0	0.018227999	1
LNM_109	0.994072825	0.002626278	0.000350763	0.000593451	0	0	0	0.002356682	0	0	0	1
LNM_110	0.88720935	0.050889137	0.002870645	0	0	0	0.019325568	0	0.023867398	0	0.015837902	1
LNM_111	0.916204238	0.050123203	0	0.004877485	0	0	0.004763774	0.003464088	0.001262592	0	0.019304619	1
LNM_112	0.94142152	0.02122236	0	0.00110067	3.95E-05	0.001057977	0.002139239	0.004717606	0.028280732	2.04E-05	0	1
LNM_113	0.915115607	0.048470878	6.55E-05	0.001131718	0	0	0.001310366	0.000856471	0.032966896	0	8.26E-05	1
LNM_114	0.855557272	0.0330249	0	0.013932816	9.26E-05	0	0.02172274	0.002848679	0.059730045	0	0.013090961	1
LNM_115	0.919172596	0.033074188	2.71E-05	0.002856095	0	0	0.013717077	0.002541645	0.028551378	3.63E-05	2.36E-05	1
