,cell_types,Sample_ID,condition
HNSCC17_P7_G02_S170_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G04_S76_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F05_S257_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E09_S57_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G05_S269_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D10_S46_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F01_S253_comb,CRC,oscc17,N0_pri
HNSCC17_P3_A07_S199_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B12_S216_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G05_S77_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E05_S245_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D08_S44_comb,CRC,oscc17,N0_pri
HNSCC17_P2_A02_S2_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D09_S237_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C10_S34_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F11_S263_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D12_S240_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D09_S45_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G08_S80_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F01_S61_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C03_S219_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D11_S47_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F12_S72_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C12_S36_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G10_S274_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E02_S242_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B04_S16_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D03_S39_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D08_S236_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G02_S74_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C10_S226_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H02_S86_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E12_S60_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G12_S276_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H03_S279_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H05_S281_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D12_S48_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F07_S67_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G01_S73_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B11_S23_comb,CRC,oscc17,N0_pri
HNSCC16_P2_E11_S59_comb,CRC,oscc16,N0_pri
HNSCC17_P2_B08_S20_comb,CRC,oscc17,N0_pri
HNSCC17_P2_A03_S3_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H06_S90_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H04_S280_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F10_S262_comb,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F01,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H09,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A11,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E12,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G07,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C11,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H02,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D05,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B05,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B04,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H03,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A10,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D11,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E06,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C04,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D09,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C06,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C01,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D01,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A07,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H07,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C08,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A09,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A03,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D06,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G06,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_D07,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C12,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F12,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_A08,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_B10,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_F03,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_H11,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_G03,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C03,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E07,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E01,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_C02,CRC,oscc17,N0_pri
HNSCC17_P1_HNSCC17_P1_E09,CRC,oscc17,N0_pri
