	score	is_training	sparsity_sp	sparsity_sc	sparsity_diff
psmb2	0.78325796	False	0.3494845360824742	0.08212913846716663	0.2673553976153076
cyb5r1	0.7828776	True	0.5051546391752577	0.6771538320834096	-0.1719991929081519
ier3	0.78267497	True	0.365979381443299	0.5970367660508505	-0.23105738460755154
tacstd2	0.78251964	True	0.5010309278350515	0.5957563563197366	-0.09472542848468501
spon2	0.7820818	False	0.21958762886597938	0.8368392171209073	-0.6172515882549279
clptm1l	0.7819058	False	0.14639175257731962	0.8119626852021218	-0.6655709326248022
hla-e	0.7818224	False	0.29793814432989696	0.031095664898481812	0.26684247943141515
lmo7	0.7815197	True	0.665979381443299	0.8022681543808304	-0.1362887729375314
srp19	0.78111446	False	0.2175257731958763	0.5717944027803183	-0.35426862958444205
reep5	0.7806484	False	0.29587628865979376	0.4069873788183648	-0.11111109015857101
timp2	0.78063095	True	0.6298969072164948	0.8450704225352113	-0.21517351531871642
s100a4	0.77977085	False	0.2721649484536083	0.5624657033107737	-0.29030075485716544
fabp5	0.7793751	True	0.4278350515463918	0.5286263032741906	-0.10079125172779879
lama4	0.77925795	True	0.4927835051546392	0.7819645143588806	-0.2891810092042414
psmd2	0.77884275	False	0.3278350515463917	0.4203402231571246	-0.0925051716107329
ctnnb1	0.7786458	False	0.2969072164948454	0.07481251143222978	0.22209470506261564
usp22	0.77806085	False	0.2896907216494845	0.2928479970733492	-0.0031572754238646805
cst3	0.777289	True	0.36907216494845363	0.3186391073715017	0.050433057576951934
rbm42	0.7769644	False	0.18350515463917527	0.5385037497713554	-0.35499859513218013
ms4a6a	0.7763293	True	0.9144329896907216	0.974025974025974	-0.0595929843352524
bsg	0.77604365	False	0.39072164948453614	0.2493140662154747	0.14140758326906144
ptges3	0.77556473	False	0.3494845360824742	0.3276019754892995	0.021882560593174727
bicd2	0.7751108	False	0.39381443298969077	0.6597768428754345	-0.2659624098857437
fxyd3	0.77482295	True	0.4742268041237113	0.6025242363270532	-0.1282974322033419
agrn	0.7741968	False	0.41237113402061853	0.6837387964148527	-0.27136766239423415
ndufa2	0.7739769	False	0.2845360824742268	0.5719773184561917	-0.2874412359819649
lrpap1	0.7727094	False	0.2824742268041237	0.022498628132430976	0.25997559867169273
atp6v1a	0.77205706	False	0.17113402061855665	0.327419059813426	-0.15628503919486936
park7	0.7715857	False	0.322680412371134	0.31077373330894453	0.011906679062189451
psmd11	0.771385	False	0.34845360824742266	0.34351563929028717	0.004937968957135497
gabarapl2	0.7709245	False	0.29793814432989696	0.49990854216206326	-0.2019703978321663
edf1	0.77030295	False	0.3494845360824742	0.3634534479604902	-0.013968911878015966
lamc2	0.76996577	False	0.5412371134020619	0.5011889518931772	0.04004816150888468
klk8	0.7696285	False	0.3783505154639175	0.7455642948600696	-0.3672137793961521
srrt	0.7689193	False	0.15979381443298968	0.5926467898298884	-0.4328529753968987
bgn	0.76890284	True	0.4474226804123711	0.678617157490397	-0.23119447707802587
txndc5	0.76889664	True	0.6814432989690722	0.8029998170843241	-0.12155651811525192
cox17	0.76867247	False	0.2639175257731958	0.5487470276202671	-0.28482950184707123
snd1	0.76802325	False	0.3237113402061855	0.4801536491677336	-0.1564423089615481
txnl4a	0.7667829	False	0.32474226804123707	0.8084872873605268	-0.4837450193192897
fscn1	0.76604265	True	0.4731958762886598	0.5397841595024694	-0.06658828321380961
chpf	0.7651842	False	0.30515463917525776	0.7320285348454363	-0.4268738956701785
tcea3	0.7648405	True	0.8731958762886598	0.8719590268886044	0.0012368494000554175
cd248	0.7646488	True	0.7412371134020619	0.8928114139381745	-0.15157430053611265
rnase1	0.7636653	True	0.5979381443298969	0.9229925004572892	-0.3250543561273923
gpnmb	0.76298314	False	0.41958762886597933	0.5079568319004939	-0.08836920303451457
eif3a	0.7628305	False	0.3154639175257732	0.42125480153649164	-0.10579088401071846
rnf213	0.7626833	False	0.1577319587628866	0.15090543259557343	0.006826526167313163
krt10	0.7625745	False	0.23298969072164943	0.6162429120175599	-0.38325322129591044
slc7a8	0.76254517	True	0.6175257731958763	0.6217303822937625	-0.004204609097886225
ifngr2	0.7623035	False	0.31752577319587627	0.4827144686299616	-0.16518869543408532
crabp2	0.7621507	False	0.19484536082474224	0.7969635997805011	-0.6021182389557589
trmt112	0.761743	False	0.3927835051546392	0.30364002194988116	0.08914348320475807
hsp90aa1	0.7617423	False	0.331958762886598	0.12328516553868663	0.20867359734791135
lamb3	0.76142603	True	0.6762886597938145	0.6403877812328517	0.0359008785609628
ebpl	0.7609284	False	0.3329896907216495	0.8088531187122736	-0.4758634279906241
cd63	0.76053196	True	0.38659793814432986	0.2498628132430949	0.13673512490123496
pdia6	0.7599886	False	0.38865979381443294	0.3385769160417048	0.05008287777272813
chchd1	0.7593432	False	0.19072164948453607	0.7516005121638925	-0.5608788626793564
cd4	0.75818783	True	0.8752577319587629	0.9019571977318456	-0.026699465773082687
psmb1	0.75731105	False	0.3855670103092783	0.278031827327602	0.1075351829816763
tubb6	0.7570437	False	0.3783505154639175	0.5935613682092555	-0.21521085274533802
tymp	0.7565204	False	0.411340206185567	0.5310042070605451	-0.11966400087497808
csta	0.7562487	True	0.6494845360824743	0.7100786537406256	-0.06059411765815137
ddrgk1	0.7560608	False	0.311340206185567	0.6784342418145235	-0.3670940356289565
ei24	0.75452566	False	0.41958762886597933	0.683007133711359	-0.2634195048453797
nutf2	0.7541591	False	0.40309278350515465	0.3786354490579843	0.024457334447170354
oaz1	0.7540043	False	0.3752577319587629	0.0993232119992683	0.2759345199594946
eef1b2	0.75332063	False	0.3515463917525773	0.3155295408816535	0.03601685087092377
romo1	0.75321054	False	0.3329896907216495	0.4415584415584416	-0.10856875083679207
lpcat1	0.75305504	False	0.1484536082474227	0.8395829522590086	-0.6911293440115859
ftl	0.7523507	False	0.22886597938144326	0.030364002194988138	0.19850197718645513
apoe	0.75228	False	0.134020618556701	0.9184196085604537	-0.7843989900037527
fstl1	0.7513885	True	0.49896907216494846	0.5915492957746479	-0.09258022360969942
cope	0.75029874	False	0.3855670103092783	0.30473751600512167	0.08082949430415665
cldn5	0.7495608	True	0.8680412371134021	0.9182366928845802	-0.05019545577117812
slc39a13	0.7492316	False	0.3752577319587629	0.7044082677885495	-0.3291505358297866
erh	0.7489087	False	0.3639175257731959	0.37680629229925	-0.012888766526054085
serpinb5	0.7479208	True	0.6391752577319587	0.6343515639290287	0.004823693802930018
pa2g4	0.74747	False	0.3463917525773196	0.4444850923724163	-0.09809333979509671
fez1	0.7472785	False	0.30927835051546393	0.47009328699469544	-0.1608149364792315
sdha	0.7469896	False	0.4	0.4179623193707701	-0.017962319370770086
eif3m	0.74570966	False	0.41546391752577316	0.4578379367111761	-0.042374019185402956
tmbim6	0.74552214	False	0.34329896907216495	0.12785805743552225	0.2154409116366427
tapbp	0.7452943	False	0.37010309278350517	0.006950795683190014	0.36315229710031516
cldn1	0.74467796	False	0.5123711340206185	0.7441009694530821	-0.23172983543246362
srsf3	0.74452996	False	0.3278350515463917	0.08121456008779948	0.24662049145859222
eef1g	0.74418914	False	0.3917525773195877	0.11413938174501559	0.2776131955745721
actn1	0.7439635	False	0.4402061855670103	0.4375342966892263	0.0026718888777840233
ifitm3	0.7432268	True	0.42680412371134024	0.16059996341686478	0.26620416029447547
tie1	0.7426529	True	0.9690721649484536	0.962319370770075	0.006752794178378596
cryab	0.742333	True	0.4948453608247423	0.7634900310956649	-0.26864467027092265
vcan	0.7422532	True	0.7164948453608248	0.8123285165538687	-0.09583367119304398
arpc4	0.7422148	False	0.37422680412371134	0.26358148893360156	0.11064531519010978
dsp	0.74215364	True	0.5907216494845361	0.5814889336016096	0.009232715882926512
ppp1r14c	0.74202234	False	0.32680412371134016	0.7843424181452351	-0.45753829443389493
tnfrsf21	0.7418697	False	0.4381443298969072	0.645692335833181	-0.20754800593627376
dido1	0.741816	False	0.2154639175257732	0.7695262483994878	-0.5540623308737146
prdx5	0.741096	False	0.4525773195876288	0.326138650082312	0.1264386695053168
mt2a	0.74078023	False	0.4061855670103093	0.3585147247119078	0.04767084229840146
hnrnpa3	0.74021626	False	0.3350515463917526	0.39418328150722515	-0.05913173511547254
hspg2	0.7400004	True	0.5556701030927835	0.662154746661789	-0.10648464356900544
dock9	0.73997027	True	0.8010309278350516	0.8099506127675142	-0.008919684932462646
hspa8	0.7394432	False	0.3711340206185567	0.11505396012438263	0.2560800604941741
c1qa	0.7385927	True	0.9226804123711341	0.9804280226815438	-0.05774761031040976
fcer1g	0.7379873	True	0.8494845360824742	0.9407353210170112	-0.09125078493453698
phpt1	0.73709464	False	0.39072164948453614	0.4455825864276568	-0.054860936943120664
dbi	0.73696715	False	0.4309278350515464	0.3597951344430218	0.07113270060852461
podxl	0.7369244	True	0.9474226804123711	0.9171391988293397	0.030283481583031402
c7orf50	0.7347856	False	0.32886597938144335	0.6038046460581672	-0.27493866667672384
gpc1	0.734386	False	0.4742268041237113	0.6815438083043717	-0.20731700418066035
gadd45gip1	0.7343383	False	0.3731958762886598	0.5101518200109749	-0.13695594372231512
cox7a2	0.73403084	False	0.411340206185567	0.31187122736418516	0.09946897882138184
pold2	0.7336869	False	0.4041237113402062	0.5514907627583684	-0.1473670514181622
hla-dpb1	0.7334053	True	0.5876288659793815	0.695079568319005	-0.1074507023396235
tkt	0.73336047	True	0.5237113402061856	0.5443570513993049	-0.02064571119311931
ric8a	0.7329508	False	0.37731958762886597	0.6436802633985732	-0.26636067576970723
fcgr3a	0.7326526	True	0.865979381443299	0.9802451070056704	-0.11426572556237136
angptl2	0.7324883	True	0.7309278350515465	0.8642765685019206	-0.13334873345037412
celsr1	0.73221415	False	0.37422680412371134	0.7075178342783977	-0.3332910301546863
